s,cx,cy,lx,ly,rx,ry
264.825,92.2548,99.9999,92.2548,94.9999,92.2547,105
265.325,91.7551,99.9999,91.7551,94.9999,91.755,105
265.824,91.2554,99.9999,91.2555,94.9999,91.2554,105
266.324,90.7557,99.9999,90.7558,94.9999,90.7557,105
266.824,90.2561,99.9999,90.2561,94.9999,90.256,105
267.323,89.7564,99.9999,89.7564,94.9999,89.7564,105
267.823,89.2567,99.9999,89.2568,94.9999,89.2567,105
268.323,88.7571,99.9999,88.7571,94.9999,88.757,105
268.822,88.2574,99.9999,88.2574,94.9999,88.2574,105
269.322,87.7577,99.9999,87.7578,94.9999,87.7577,105
269.822,87.2581,99.9999,87.2581,94.9999,87.258,105
270.321,86.7584,99.9999,86.7584,94.9999,86.7584,105
270.821,86.2587,99.9999,86.2588,94.9999,86.2587,105
271.321,85.759,99.9999,85.7591,94.9999,85.759,105
271.82,85.2594,99.9999,85.2594,94.9999,85.2593,105
272.32,84.7597,99.9999,84.7597,94.9999,84.7597,105
272.82,84.26,99.9999,84.2601,94.9999,84.26,105
273.319,83.7604,99.9999,83.7604,94.9999,83.7603,105
273.819,83.2607,99.9999,83.2607,94.9999,83.2607,105
274.319,82.761,99.9999,82.7611,94.9999,82.761,105
274.818,82.2614,99.9999,82.2614,94.9999,82.2613,105
275.318,81.7617,99.9999,81.7617,94.9999,81.7617,105
275.818,81.262,99.9999,81.2621,94.9999,81.262,105
276.317,80.7624,99.9999,80.7624,94.9999,80.7623,105
276.817,80.2627,99.9999,80.2627,94.9999,80.2626,105
277.317,79.763,99.9999,79.7631,94.9999,79.763,105
277.816,79.2633,99.9998,79.2634,94.9998,79.2633,105
278.316,78.7637,99.9998,78.7637,94.9998,78.7636,105
278.816,78.264,99.9998,78.264,94.9998,78.264,105
279.315,77.7643,99.9998,77.7644,94.9998,77.7643,105
279.815,77.2647,99.9998,77.2647,94.9998,77.2646,105
280.315,76.765,99.9998,76.765,94.9998,76.765,105
280.814,76.2653,99.9998,76.2654,94.9998,76.2653,105
281.314,75.7657,99.9998,75.7657,94.9998,75.7656,105
281.814,75.266,99.9998,75.266,94.9998,75.266,105
282.313,74.7663,99.9998,74.7664,94.9998,74.7663,105
282.813,74.2666,99.9998,74.2667,94.9998,74.2666,105
283.313,73.767,99.9998,73.767,94.9998,73.7669,105
283.812,73.2673,99.9998,73.2673,94.9998,73.2673,105
284.312,72.7676,99.9998,72.7677,94.9998,72.7676,105
284.812,72.268,99.9998,72.268,94.9998,72.2679,105
285.311,71.7683,99.9998,71.7683,94.9998,71.7683,105
